file,rel_path,porosity,shift,target_peak,offset,status
6-6-20 全部_z1088_y1040_x1025.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y1040_x1025.npy,0.005203366279602051,4,149,28,ok
6-6-20 全部_z1088_y1040_x1089.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y1040_x1089.npy,0.010853707790374756,-9,149,28,ok
6-6-20 全部_z1088_y1040_x705.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y1040_x705.npy,0.01207822561264038,-6,149,28,ok
6-6-20 全部_z1088_y1040_x769.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y1040_x769.npy,0.014660894870758057,-6,149,28,ok
6-6-20 全部_z1088_y1040_x833.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y1040_x833.npy,0.006037533283233643,5,149,28,ok
6-6-20 全部_z1088_y1040_x897.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y1040_x897.npy,0.006874382495880127,4,149,28,ok
6-6-20 全部_z1088_y1040_x961.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y1040_x961.npy,0.005346715450286865,5,149,28,ok
6-6-20 全部_z1088_y1104_x1025.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y1104_x1025.npy,0.01009511947631836,-9,149,28,ok
6-6-20 全部_z1088_y1104_x769.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y1104_x769.npy,0.01586848497390747,-7,149,28,ok
6-6-20 全部_z1088_y1104_x833.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y1104_x833.npy,0.017256736755371094,-6,149,28,ok
6-6-20 全部_z1088_y1104_x897.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y1104_x897.npy,0.00799340009689331,2,149,28,ok
6-6-20 全部_z1088_y1104_x961.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y1104_x961.npy,0.006291508674621582,2,149,28,ok
6-6-20 全部_z1088_y1168_x833.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y1168_x833.npy,0.012219786643981934,-7,149,28,ok
6-6-20 全部_z1088_y1168_x897.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y1168_x897.npy,0.01215672492980957,-7,149,28,ok
6-6-20 全部_z1088_y1168_x961.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y1168_x961.npy,0.009169399738311768,-7,149,28,ok
6-6-20 全部_z1088_y720_x897.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y720_x897.npy,0.0009148716926574707,-2,149,28,ok
6-6-20 全部_z1088_y784_x833.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y784_x833.npy,0.0030794739723205566,5,149,28,ok
6-6-20 全部_z1088_y784_x897.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y784_x897.npy,0.0053285956382751465,3,149,28,ok
6-6-20 全部_z1088_y784_x961.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y784_x961.npy,0.010580062866210938,4,149,28,ok
6-6-20 全部_z1088_y848_x1025.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y848_x1025.npy,0.012959718704223633,5,149,28,ok
6-6-20 全部_z1088_y848_x769.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y848_x769.npy,0.0031061768531799316,5,149,28,ok
6-6-20 全部_z1088_y848_x833.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y848_x833.npy,0.004206240177154541,5,149,28,ok
6-6-20 全部_z1088_y848_x897.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y848_x897.npy,0.005582332611083984,5,149,28,ok
6-6-20 全部_z1088_y848_x961.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y848_x961.npy,0.011141002178192139,5,149,28,ok
6-6-20 全部_z1088_y912_x1025.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y912_x1025.npy,0.014619588851928711,4,149,28,ok
