Epoch,Step,DiffLoss_unknown,DiffLoss_known,KnownConsistency,BoundaryX0Cons,UnknownRatio
1,1,0.8691534996032715,0.9310796856880188,0.3065924644470215,0.2933359742164612,0.5087890625
1,2,0.8552427291870117,0.9891674518585205,0.3033444583415985,0.25719428062438965,0.475250244140625
1,3,0.8123229742050171,0.9732187986373901,0.3089240789413452,0.2564642131328583,0.4698448181152344
1,4,0.7988482117652893,0.8565463423728943,0.24109365046024323,0.2305011749267578,0.43326568603515625
1,5,0.7948947548866272,0.843908429145813,0.2852734923362732,0.2765706479549408,0.47281646728515625
1,6,0.7743247747421265,0.8436405658721924,0.29833871126174927,0.27479806542396545,0.41442012786865234
1,7,0.77081298828125,0.8318553566932678,0.24710825085639954,0.23474176228046417,0.46286773681640625
1,8,0.7548498511314392,0.7894982099533081,0.24150338768959045,0.23175182938575745,0.49627685546875
1,9,0.7481036186218262,0.7801231741905212,0.26956987380981445,0.2596319317817688,0.4521780014038086
1,10,0.7450113296508789,0.7815170884132385,0.22789226472377777,0.21836017072200775,0.4440422058105469
1,11,0.7345995903015137,0.7773321270942688,0.26508018374443054,0.2494870275259018,0.4273080825805664
1,12,0.7287704944610596,0.7674873471260071,0.210939422249794,0.19557176530361176,0.46478843688964844
1,13,0.6716117262840271,0.7130166888237,0.21935254335403442,0.19635295867919922,0.4883308410644531
1,14,0.6727439165115356,0.7186339497566223,0.23188889026641846,0.2238972783088684,0.47967529296875
1,15,0.6675491333007812,0.7143567204475403,0.2428228110074997,0.23895668983459473,0.4894123077392578
1,16,0.6695832014083862,0.709465742111206,0.23231981694698334,0.20969977974891663,0.43616390228271484
1,17,0.5987272262573242,0.6672810316085815,0.20883285999298096,0.2144635170698166,0.3989105224609375
1,18,0.6667308807373047,0.7158807516098022,0.23456813395023346,0.22492654621601105,0.47588539123535156
1,19,0.6002870202064514,0.67064368724823,0.20814643800258636,0.18399979174137115,0.4460439682006836
1,20,0.6157800555229187,0.6618262529373169,0.2103966921567917,0.193123921751976,0.45311737060546875
