Epoch,Step,Loss,LR
1,1,0.844092,0.00010000
1,2,1.308596,0.00010000
1,3,1.037778,0.00010000
1,4,0.823899,0.00010000
1,5,0.815575,0.00010000
1,6,0.815446,0.00010000
1,7,0.767843,0.00010000
1,8,0.751835,0.00010000
1,9,0.763130,0.00010000
1,10,0.721213,0.00010000
1,11,0.720653,0.00010000
1,12,0.722998,0.00010000
1,13,0.707342,0.00010000
1,14,0.650213,0.00010000
1,15,0.683798,0.00010000
1,16,0.659503,0.00010000
1,17,0.652475,0.00010000
1,18,0.635137,0.00010000
1,19,0.587627,0.00010000
1,20,0.576636,0.00010000
1,21,0.605560,0.00010000
1,22,0.573356,0.00010000
1,23,0.545910,0.00010000
1,24,0.548122,0.00010000
1,25,0.549616,0.00010000
1,26,0.566865,0.00010000
1,27,0.536545,0.00010000
1,28,0.548253,0.00010000
1,29,0.505458,0.00010000
1,30,0.490636,0.00010000
1,31,0.527836,0.00010000
1,32,0.508449,0.00010000
1,33,0.474131,0.00010000
1,34,0.514955,0.00010000
1,35,0.504171,0.00010000
1,36,0.499761,0.00010000
1,37,0.465927,0.00010000
1,38,0.484490,0.00010000
1,39,0.490351,0.00010000
1,40,0.471379,0.00010000
1,41,0.448537,0.00010000
1,42,0.466607,0.00010000
1,43,0.492711,0.00010000
1,44,0.444477,0.00010000
1,45,0.494848,0.00010000
1,46,0.440770,0.00010000
1,47,0.456757,0.00010000
1,48,0.460540,0.00010000
1,49,0.507387,0.00010000
1,50,0.497466,0.00010000
1,51,0.435476,0.00010000
1,52,0.431107,0.00010000
1,53,0.387743,0.00010000
1,54,0.431181,0.00010000
1,55,0.482036,0.00010000
1,56,0.454519,0.00010000
1,57,0.433633,0.00010000
1,58,0.417397,0.00010000
1,59,0.398037,0.00010000
1,60,0.473774,0.00010000
1,61,0.399826,0.00010000
1,62,0.443406,0.00010000
1,63,0.448689,0.00010000
1,64,0.487781,0.00010000
1,65,0.474486,0.00010000
2,66,0.446620,0.00010000
2,67,0.428921,0.00010000
2,68,0.419543,0.00010000
2,69,0.433167,0.00010000
2,70,0.436319,0.00010000
2,71,0.440837,0.00010000
2,72,0.457600,0.00010000
2,73,0.466264,0.00010000
2,74,0.426104,0.00010000
2,75,0.411806,0.00010000
2,76,0.384082,0.00010000
2,77,0.443254,0.00010000
2,78,0.388887,0.00010000
2,79,0.439846,0.00010000
2,80,0.423837,0.00010000
2,81,0.418095,0.00010000
2,82,0.423910,0.00010000
2,83,0.406293,0.00010000
2,84,0.431839,0.00010000
2,85,0.429595,0.00010000
2,86,0.397673,0.00010000
2,87,0.442671,0.00010000
2,88,0.393968,0.00010000
2,89,0.429276,0.00010000
2,90,0.412982,0.00010000
2,91,0.451560,0.00010000
2,92,0.411857,0.00010000
2,93,0.403233,0.00010000
2,94,0.409912,0.00010000
2,95,0.435449,0.00010000
2,96,0.427744,0.00010000
2,97,0.380580,0.00010000
2,98,0.401128,0.00010000
2,99,0.382006,0.00010000
2,100,0.384491,0.00010000
2,101,0.422334,0.00010000
2,102,0.437835,0.00010000
2,103,0.365519,0.00010000
2,104,0.357612,0.00010000
2,105,0.374957,0.00010000
2,106,0.380683,0.00010000
2,107,0.423515,0.00010000
2,108,0.376524,0.00010000
2,109,0.346105,0.00010000
2,110,0.369791,0.00010000
2,111,0.349330,0.00010000
2,112,0.309482,0.00010000
2,113,0.342424,0.00010000
2,114,0.362635,0.00010000
2,115,0.357769,0.00010000
2,116,0.333395,0.00010000
2,117,0.317673,0.00010000
2,118,0.335556,0.00010000
2,119,0.351461,0.00010000
2,120,0.343859,0.00010000
2,121,0.360665,0.00010000
2,122,0.328819,0.00010000
2,123,0.351579,0.00010000
2,124,0.333033,0.00010000
2,125,0.299702,0.00010000
2,126,0.398453,0.00010000
2,127,0.378786,0.00010000
2,128,0.319223,0.00010000
2,129,0.370964,0.00010000
2,130,0.361203,0.00010000
3,131,0.332600,0.00009999
3,132,0.281679,0.00009999
3,133,0.298923,0.00009999
3,134,0.345697,0.00009999
3,135,0.365208,0.00009999
3,136,0.289098,0.00009999
3,137,0.275010,0.00009999
3,138,0.311150,0.00009999
3,139,0.365676,0.00009999
3,140,0.298222,0.00009999
3,141,0.307458,0.00009999
3,142,0.300377,0.00009999
3,143,0.339411,0.00009999
3,144,0.303474,0.00009999
3,145,0.267687,0.00009999
3,146,0.274289,0.00009999
3,147,0.303171,0.00009999
3,148,0.311140,0.00009999
3,149,0.235769,0.00009999
3,150,0.307141,0.00009999
3,151,0.286521,0.00009999
3,152,0.286472,0.00009999
3,153,0.266268,0.00009999
3,154,0.280012,0.00009999
3,155,0.258118,0.00009999
3,156,0.293599,0.00009999
3,157,0.292790,0.00009999
3,158,0.295932,0.00009999
3,159,0.266879,0.00009999
3,160,0.258678,0.00009999
3,161,0.266380,0.00009999
3,162,0.275395,0.00009999
3,163,0.275441,0.00009999
3,164,0.255616,0.00009999
3,165,0.252267,0.00009999
3,166,0.290098,0.00009999
3,167,0.254223,0.00009999
3,168,0.287785,0.00009999
3,169,0.293465,0.00009999
3,170,0.260880,0.00009999
3,171,0.233991,0.00009999
3,172,0.265350,0.00009999
3,173,0.265429,0.00009999
3,174,0.262415,0.00009999
3,175,0.261687,0.00009999
3,176,0.301947,0.00009999
