Epoch,Step,Loss,LR,DiffTarget,X0Target,StatsTarget,PhiDecode,PhiProxy,PhiDecodeWeighted,PhiProxyWeighted,PhiDecodeApplied,PhiConsistencyWeight,PhiProxyWeight,PhiLossEverySteps,PhiLossMaxBatch,PhiTargetMean
0,1,1.346159,3e-05,0.804391,1.247754,1.119740,0.055491,0.270167,0.016647,0.032420,1,0.300000,0.120000,1,0,0.791137
0,2,1.640303,3e-05,0.768516,2.091003,2.379372,0.047205,0.056712,0.014161,0.006805,1,0.300000,0.120000,1,0,0.887110
0,3,1.552684,3e-05,0.804477,1.740342,1.841191,0.053492,0.258166,0.016048,0.030980,1,0.300000,0.120000,1,0,0.857727
0,4,1.294587,3e-05,0.660577,1.560985,1.520721,0.030150,0.021532,0.009045,0.002584,1,0.300000,0.120000,1,0,0.873175
0,5,1.279060,3e-05,0.668754,1.490610,1.417303,0.046375,0.031789,0.013912,0.003815,1,0.300000,0.120000,1,0,0.904120
0,6,1.042673,3e-05,0.654914,0.945391,0.837466,0.036292,0.034260,0.010888,0.004111,1,0.300000,0.120000,1,0,0.906592
0,7,1.147676,3e-05,0.621969,1.296626,1.109275,0.045623,0.022806,0.013687,0.002737,1,0.300000,0.120000,1,0,0.844494
0,8,1.452589,3e-05,0.704324,1.837164,1.686304,0.055212,0.036493,0.016564,0.004379,1,0.300000,0.120000,1,0,0.804697
0,9,1.511075,3e-05,0.660976,2.116791,1.856029,0.042869,0.029670,0.012861,0.003560,1,0.300000,0.120000,1,0,0.723525
0,10,1.431894,3e-05,0.654725,1.920713,1.752525,0.038257,0.048469,0.011477,0.005816,1,0.300000,0.120000,1,0,0.890286
0,11,1.254253,3e-05,0.652509,1.504979,1.195974,0.039925,0.026872,0.011978,0.003225,1,0.300000,0.120000,1,0,0.850003
0,12,0.959211,3e-05,0.550541,0.998279,0.814859,0.052271,0.023733,0.015681,0.002848,1,0.300000,0.120000,1,0,0.890709
0,13,1.214248,3e-05,0.619261,1.468170,1.210040,0.052478,0.040685,0.015743,0.004882,1,0.300000,0.120000,1,0,0.807093
0,14,1.061532,3e-05,0.669956,0.967736,0.622443,0.043216,0.073176,0.012965,0.008781,1,0.300000,0.120000,1,0,0.882013
0,15,1.506203,3e-05,0.580194,2.301578,2.203442,0.027865,0.016042,0.008360,0.001925,1,0.300000,0.120000,1,0,0.868293
0,16,1.008218,3e-05,0.665095,0.847343,0.635710,0.040521,0.021757,0.012156,0.002611,1,0.300000,0.120000,1,0,0.762741
0,17,1.583309,3e-05,0.639609,2.338300,2.214717,0.042425,0.015264,0.012728,0.001832,1,0.300000,0.120000,1,0,0.932602
0,18,1.271355,3e-05,0.569029,1.719510,1.556778,0.041213,0.085792,0.012364,0.010295,1,0.300000,0.120000,1,0,0.877797
0,19,1.033815,3e-05,0.520925,1.274128,1.053589,0.034317,0.033086,0.010295,0.003970,1,0.300000,0.120000,1,0,0.833712
0,20,0.806062,3e-05,0.503819,0.753357,0.483205,0.037006,0.027549,0.011102,0.003306,1,0.300000,0.120000,1,0,0.898689
0,21,1.036337,3e-05,0.550561,1.204738,0.993201,0.037389,0.027010,0.011217,0.003241,1,0.300000,0.120000,1,0,0.914464
0,22,1.108618,3e-05,0.604832,1.252631,1.107534,0.028912,0.010957,0.008674,0.001315,1,0.300000,0.120000,1,0,0.837178
0,23,1.724219,3e-05,0.564546,2.878783,2.837925,0.021226,0.031962,0.006368,0.003835,1,0.300000,0.120000,1,0,0.918534
0,24,0.671848,3e-05,0.388067,0.681934,0.563215,0.049779,0.016739,0.014934,0.002009,1,0.300000,0.120000,1,0,0.861946
0,25,1.431943,3e-05,0.659362,1.929035,1.616220,0.054298,0.002654,0.016289,0.000318,1,0.300000,0.120000,1,0,0.885465
0,26,1.172195,3e-05,0.569798,1.499347,1.212651,0.041369,0.038180,0.012411,0.004582,1,0.300000,0.120000,1,0,0.864581
0,27,1.110724,3e-05,0.560625,1.360860,1.228336,0.030777,0.026231,0.009233,0.003148,1,0.300000,0.120000,1,0,0.854220
0,28,1.215861,3e-05,0.581415,1.612588,1.306356,0.014053,0.004220,0.004216,0.000506,1,0.300000,0.120000,1,0,0.816018
0,29,1.104156,3e-05,0.586520,1.301960,0.985405,0.023272,0.047492,0.006981,0.005699,1,0.300000,0.120000,1,0,0.835197
0,30,1.322628,3e-05,0.651898,1.693009,1.349923,0.026386,0.023039,0.007916,0.002765,1,0.300000,0.120000,1,0,0.858374
0,31,1.235492,3e-05,0.569973,1.648631,1.428889,0.041999,0.037114,0.012600,0.004454,1,0.300000,0.120000,1,0,0.905289
0,32,1.142572,3e-05,0.553116,1.473878,1.282794,0.023790,0.019355,0.007137,0.002323,1,0.300000,0.120000,1,0,0.769447
0,33,1.212281,3e-05,0.536563,1.696257,1.417359,0.032975,0.010563,0.009892,0.001268,1,0.300000,0.120000,1,0,0.879672
0,34,1.009667,3e-05,0.622828,0.979233,0.578372,0.044152,0.016197,0.013246,0.001944,1,0.300000,0.120000,1,0,0.843519
0,35,1.150187,3e-05,0.504780,1.615720,1.294237,0.037461,0.032952,0.011238,0.003954,1,0.300000,0.120000,1,0,0.882317
0,36,1.154376,3e-05,0.567007,1.487200,1.117231,0.029784,0.017096,0.008935,0.002052,1,0.300000,0.120000,1,0,0.837454
