file,rel_path,porosity,scale_factor,orig_peak,clip_ratio,status
6-6-21_z1792_y580_x309.npy,6-6-21_z1792_y580_x309.npy,0.07425898313522339,0.7634087290335245,45847,0.0,ok
6-6-21_z1664_y640_x501.npy,6-6-21_z1664_y640_x501.npy,0.07430505752563477,0.7481509982471891,46782,0.0,ok
6-6-21_z1664_y256_x437.npy,6-6-21_z1664_y256_x437.npy,0.07431721687316895,0.6197103296858953,56478,0.0,ok
6-6-21_z1088_y336_x317.npy,6-6-21_z1088_y336_x317.npy,0.0743478536605835,0.699482383036553,50037,0.0,ok
6-6-21_z1600_y446_x373.npy,6-6-21_z1600_y446_x373.npy,0.0743718147277832,0.8228130803770835,42537,0.0,ok
6-6-21_z1408_y638_x436.npy,6-6-21_z1408_y638_x436.npy,0.07439786195755005,0.7289388732687702,48015,0.0,ok
6-6-21_z1792_y516_x437.npy,6-6-21_z1792_y516_x437.npy,0.07440686225891113,0.7866759569351105,44491,0.0,ok
6-6-22_z3904_y623_x447.npy,6-6-22_z3904_y623_x447.npy,0.07451003789901733,0.829324929507381,42203,0.0,ok
6-6-21_z1088_y400_x253.npy,6-6-21_z1088_y400_x253.npy,0.0745398998260498,0.6912760956726116,50631,0.0,ok
6-6-21_z2176_y329_x439.npy,6-6-21_z2176_y329_x439.npy,0.0745471715927124,0.7561518352885259,46287,0.0,ok
6-6-22_z1472_y510_x496.npy,6-6-22_z1472_y510_x496.npy,0.0746004581451416,0.858453312403424,40771,0.0,ok
6-6-20 全部_z2816_y525_x247.npy,6-6-20 全部_z2816_y525_x247.npy,0.07463604211807251,0.744126714149038,47035,0.0,ok
6-6-21_z1600_y446_x501.npy,6-6-21_z1600_y446_x501.npy,0.07464444637298584,0.8612204724409449,40640,0.0,ok
6-6-21_z768_y252_x441.npy,6-6-21_z768_y252_x441.npy,0.07467442750930786,0.7015293339480067,49891,0.0,ok
6-6-21_z1472_y638_x500.npy,6-6-21_z1472_y638_x500.npy,0.07468301057815552,0.7490476394298677,46726,0.0,ok
6-6-21_z1856_y517_x499.npy,6-6-21_z1856_y517_x499.npy,0.07472735643386841,0.7842785757501064,44627,0.0,ok
6-6-21_z3392_y325_x521.npy,6-6-21_z3392_y325_x521.npy,0.0747341513633728,0.9146500810118643,38266,0.0,ok
6-6-21_z1984_y391_x308.npy,6-6-21_z1984_y391_x308.npy,0.07475906610488892,0.6923563855040354,50552,0.0,ok
6-6-21_z1408_y638_x372.npy,6-6-21_z1408_y638_x372.npy,0.07478827238082886,0.6828468862181989,51256,0.0,ok
6-6-21_z768_y252_x505.npy,6-6-21_z768_y252_x505.npy,0.07483118772506714,0.7046506945842561,49670,0.0,ok
6-6-21_z1408_y382_x500.npy,6-6-21_z1408_y382_x500.npy,0.07486051321029663,0.7985398129135296,43830,0.0,ok
6-6-21_z3328_y461_x394.npy,6-6-21_z3328_y461_x394.npy,0.07490497827529907,0.8229098090849243,42532,0.0,ok
6-6-21_z896_y254_x374.npy,6-6-21_z896_y254_x374.npy,0.07491207122802734,0.6806822380831988,51419,0.0,ok
6-6-22_z3648_y378_x318.npy,6-6-22_z3648_y378_x318.npy,0.07498276233673096,0.8476834023589818,41289,0.0,ok
6-6-21_z3904_y505_x425.npy,6-6-21_z3904_y505_x425.npy,0.07507979869842529,0.8284415830335163,42248,0.0,ok
