group,porosity_pct_mean,porosity_pct_std,porosity_pct_count,scale_factor_mean,scale_factor_std,scale_factor_count,clip_ratio_pct_mean,clip_ratio_pct_std,clip_ratio_pct_count
6-6-20 全部,3.157408888465076,2.6485379031252756,1258,0.90287818223011,0.0750792005712726,1258,0.0,0.0,1258
6-6-21,7.487854002236481,3.3631843501807963,1999,0.7615619747949183,0.06151837643233889,1999,0.0,0.0,1999
6-6-22,10.711725468185087,5.362154535758976,868,0.8207853268148826,0.04940387924417805,868,0.0,0.0,868
