Epoch,Step,Loss,LR
1,1,1.160981,0.00010000
1,2,2.543442,0.00010000
1,3,2.537201,0.00010000
1,4,1.600436,0.00010000
1,5,0.967157,0.00010000
1,6,1.177549,0.00010000
1,7,1.146544,0.00010000
1,8,0.891927,0.00010000
1,9,0.854308,0.00010000
1,10,0.819721,0.00010000
1,11,0.740435,0.00010000
1,12,0.677961,0.00010000
1,13,0.686351,0.00010000
1,14,0.603224,0.00010000
1,15,0.584381,0.00010000
1,16,0.582531,0.00010000
1,17,0.528094,0.00010000
1,18,0.471039,0.00010000
1,19,0.555378,0.00010000
1,20,0.460023,0.00010000
1,21,0.434807,0.00010000
1,22,0.385956,0.00010000
1,23,0.458364,0.00010000
1,24,0.411943,0.00010000
1,25,0.363517,0.00010000
1,26,0.384001,0.00010000
1,27,0.485193,0.00010000
1,28,0.459183,0.00010000
1,29,0.327705,0.00010000
1,30,0.351195,0.00010000
1,31,0.403113,0.00010000
1,32,0.335450,0.00010000
1,33,0.312845,0.00010000
1,34,0.335519,0.00010000
1,35,0.353624,0.00010000
1,36,0.488495,0.00010000
1,37,0.384618,0.00010000
1,38,0.334418,0.00010000
1,39,0.412768,0.00010000
1,40,0.389072,0.00010000
1,41,0.356660,0.00010000
1,42,0.340772,0.00010000
1,43,0.297716,0.00010000
1,44,0.302740,0.00010000
1,45,0.318316,0.00010000
1,46,0.284449,0.00010000
1,47,0.327912,0.00010000
1,48,0.306711,0.00010000
1,49,0.358692,0.00010000
1,50,0.293255,0.00010000
1,51,0.267924,0.00010000
1,52,0.326737,0.00010000
1,53,0.351137,0.00010000
1,54,0.319088,0.00010000
1,55,0.388497,0.00010000
1,56,0.305244,0.00010000
1,57,0.328660,0.00010000
1,58,0.380865,0.00010000
1,59,0.291834,0.00010000
1,60,0.303398,0.00010000
1,61,0.277161,0.00010000
1,62,0.318327,0.00010000
1,63,0.301801,0.00010000
1,64,0.308896,0.00010000
1,65,0.422832,0.00010000
2,66,0.252591,0.00010000
2,67,0.296951,0.00010000
2,68,0.285789,0.00010000
2,69,0.298264,0.00010000
2,70,0.266074,0.00010000
2,71,0.270561,0.00010000
2,72,0.262696,0.00010000
2,73,0.226275,0.00010000
2,74,0.283523,0.00010000
2,75,0.277517,0.00010000
2,76,0.322100,0.00010000
2,77,0.316389,0.00010000
2,78,0.229572,0.00010000
2,79,0.330090,0.00010000
2,80,0.296253,0.00010000
2,81,0.280625,0.00010000
2,82,0.273057,0.00010000
2,83,0.289092,0.00010000
2,84,0.248417,0.00010000
2,85,0.221945,0.00010000
2,86,0.277617,0.00010000
2,87,0.238533,0.00010000
2,88,0.265045,0.00010000
2,89,0.234927,0.00010000
2,90,0.261176,0.00010000
2,91,0.275696,0.00010000
2,92,0.259884,0.00010000
2,93,0.228147,0.00010000
2,94,0.294497,0.00010000
2,95,0.285941,0.00010000
2,96,0.213065,0.00010000
2,97,0.229319,0.00010000
2,98,0.314567,0.00010000
2,99,0.207848,0.00010000
2,100,0.256134,0.00010000
2,101,0.319166,0.00010000
2,102,0.212232,0.00010000
2,103,0.208685,0.00010000
2,104,0.238732,0.00010000
2,105,0.178356,0.00010000
2,106,0.246576,0.00010000
2,107,0.178554,0.00010000
2,108,0.301111,0.00010000
2,109,0.236925,0.00010000
2,110,0.200196,0.00010000
2,111,0.164326,0.00010000
2,112,0.249178,0.00010000
2,113,0.199249,0.00010000
2,114,0.274400,0.00010000
2,115,0.221634,0.00010000
2,116,0.225104,0.00010000
2,117,0.200201,0.00010000
2,118,0.282565,0.00010000
2,119,0.196419,0.00010000
2,120,0.189645,0.00010000
2,121,0.237788,0.00010000
2,122,0.176461,0.00010000
2,123,0.206089,0.00010000
2,124,0.210628,0.00010000
2,125,0.180468,0.00010000
2,126,0.241464,0.00010000
2,127,0.210950,0.00010000
2,128,0.167976,0.00010000
2,129,0.171257,0.00010000
2,130,0.210276,0.00010000
3,131,0.159090,0.00009999
3,132,0.139360,0.00009999
3,133,0.186293,0.00009999
3,134,0.174564,0.00009999
3,135,0.138132,0.00009999
3,136,0.170161,0.00009999
3,137,0.206942,0.00009999
3,138,0.145395,0.00009999
3,139,0.188789,0.00009999
3,140,0.158263,0.00009999
3,141,0.213271,0.00009999
3,142,0.239371,0.00009999
3,143,0.164135,0.00009999
3,144,0.260287,0.00009999
3,145,0.120651,0.00009999
3,146,0.222649,0.00009999
3,147,0.155982,0.00009999
3,148,0.163557,0.00009999
3,149,0.262153,0.00009999
3,150,0.243894,0.00009999
3,151,0.182897,0.00009999
3,152,0.201512,0.00009999
3,153,0.178160,0.00009999
3,154,0.229377,0.00009999
3,155,0.119975,0.00009999
3,156,0.170121,0.00009999
3,157,0.171312,0.00009999
3,158,0.170372,0.00009999
3,159,0.136059,0.00009999
3,160,0.095498,0.00009999
3,161,0.136712,0.00009999
3,162,0.178117,0.00009999
3,163,0.138604,0.00009999
3,164,0.203702,0.00009999
3,165,0.207308,0.00009999
3,166,0.174659,0.00009999
3,167,0.210531,0.00009999
3,168,0.176299,0.00009999
3,169,0.250325,0.00009999
3,170,0.142259,0.00009999
3,171,0.155733,0.00009999
3,172,0.179076,0.00009999
3,173,0.154824,0.00009999
3,174,0.158006,0.00009999
3,175,0.165920,0.00009999
3,176,0.137820,0.00009999
3,177,0.170798,0.00009999
3,178,0.128768,0.00009999
3,179,0.193468,0.00009999
3,180,0.155715,0.00009999
3,181,0.158650,0.00009999
3,182,0.143382,0.00009999
3,183,0.187303,0.00009999
3,184,0.179467,0.00009999
3,185,0.150324,0.00009999
3,186,0.152349,0.00009999
3,187,0.088754,0.00009999
