Epoch,Step,Loss,LR,DiffTarget,X0Target
0,1,1.084144,5e-05,0.763040,1.605516
0,2,1.246113,5e-05,0.907911,1.691010
0,3,1.030837,5e-05,0.732850,1.489936
0,4,1.082108,5e-05,0.717213,1.824478
0,5,0.975075,5e-05,0.652868,1.611037
0,6,0.854681,5e-05,0.602005,1.263379
0,7,0.887784,5e-05,0.634859,1.264625
0,8,0.941217,5e-05,0.713297,1.139600
0,9,0.911211,5e-05,0.592885,1.591630
0,10,0.934341,5e-05,0.659265,1.375381
0,11,0.801754,5e-05,0.566881,1.174364
0,12,1.015581,5e-05,0.637163,1.892090
0,13,0.939546,5e-05,0.635252,1.521468
0,14,0.883177,5e-05,0.629432,1.268727
0,15,0.807209,5e-05,0.579188,1.140104
0,16,0.890344,5e-05,0.567198,1.615728
0,17,0.839616,5e-05,0.584137,1.277398
0,18,0.961111,5e-05,0.594887,1.831121
0,19,0.849241,5e-05,0.588205,1.305182
0,20,0.794900,5e-05,0.541679,1.266104
0,21,0.768107,5e-05,0.530671,1.187180
0,22,0.647842,5e-05,0.468851,0.894954
0,23,0.709816,5e-05,0.514519,0.976488
0,24,0.930765,5e-05,0.521003,2.048814
0,25,0.700380,5e-05,0.478466,1.109572
0,26,0.786240,5e-05,0.535558,1.253409
0,27,0.773661,5e-05,0.451699,1.609807
0,28,0.763203,5e-05,0.537590,1.128064
0,29,0.648475,5e-05,0.496509,0.759830
0,30,0.813311,5e-05,0.460141,1.765849
0,31,0.756668,5e-05,0.491377,1.326457
0,32,0.631978,5e-05,0.441244,0.953672
0,33,0.660034,5e-05,0.397476,1.312793
0,34,0.684731,5e-05,0.464342,1.101945
0,35,0.729722,5e-05,0.490313,1.197046
0,36,0.550415,5e-05,0.377120,0.866476
0,37,0.588776,5e-05,0.428746,0.800151
0,38,0.609354,5e-05,0.426787,0.912837
0,39,0.653467,5e-05,0.465377,0.940450
0,40,0.608076,5e-05,0.414384,0.968462
0,41,0.633360,5e-05,0.467541,0.829099
0,42,0.601214,5e-05,0.371750,1.147319
0,43,0.690892,5e-05,0.454025,1.184335
0,44,0.633023,5e-05,0.477291,0.778664
0,45,0.559150,5e-05,0.420217,0.694662
0,46,0.567684,5e-05,0.403427,0.821284
0,47,0.571026,5e-05,0.392969,0.890286
0,48,0.567823,5e-05,0.424836,0.714936
0,49,0.573944,5e-05,0.393956,0.899941
0,50,0.586626,5e-05,0.319842,1.333917
0,51,0.494757,5e-05,0.360530,0.671132
0,52,0.480107,5e-05,0.359894,0.601066
