Epoch,Step,Loss,LR,DiffTarget,X0Target
0,1,1.705817,3e-05,0.749058,2.258411
0,2,1.614576,3e-05,0.889974,1.737615
0,3,1.248476,3e-05,0.764532,1.166711
0,4,1.772830,3e-05,0.768748,2.466806
0,5,1.400418,3e-05,0.703489,1.686147
0,6,1.489110,3e-05,0.682912,1.980898
0,7,1.376219,3e-05,0.699377,1.691698
0,8,1.316407,3e-05,0.724204,1.470164
0,9,1.199951,3e-05,0.602133,1.459688
0,10,1.198108,3e-05,0.626212,1.436210
0,11,1.120899,3e-05,0.615117,1.253788
0,12,1.086237,3e-05,0.611856,1.185350
0,13,1.087612,3e-05,0.616944,1.169953
0,14,1.131139,3e-05,0.605679,1.318265
0,15,1.478089,3e-05,0.658517,2.041484
0,16,1.099660,3e-05,0.637644,1.154416
0,17,1.256722,3e-05,0.658034,1.515012
0,18,1.319689,3e-05,0.588685,1.839600
0,19,1.124994,3e-05,0.632031,1.232689
0,20,0.970964,3e-05,0.560068,1.017331
0,21,1.454401,3e-05,0.620109,2.075049
0,22,1.046715,3e-05,0.519007,1.309749
0,23,1.060397,3e-05,0.600794,1.142096
0,24,1.213336,3e-05,0.560707,1.615751
0,25,0.825758,3e-05,0.513486,0.791570
0,26,0.953118,3e-05,0.492869,1.171872
0,27,1.275523,3e-05,0.587355,1.738631
0,28,1.098306,3e-05,0.524593,1.425515
0,29,1.163032,3e-05,0.533521,1.575526
0,30,1.016956,3e-05,0.542617,1.192503
0,31,0.904606,3e-05,0.456999,1.132633
0,32,0.955170,3e-05,0.502846,1.144140
0,33,0.985089,3e-05,0.457049,1.325928
0,34,1.158236,3e-05,0.498928,1.648957
0,35,1.085818,3e-05,0.473670,1.513486
0,36,0.796806,3e-05,0.469553,0.822378
0,37,0.882406,3e-05,0.460164,1.063226
0,38,1.142653,3e-05,0.548759,1.496727
0,39,0.789095,3e-05,0.473564,0.802410
0,40,0.737909,3e-05,0.490958,0.649393
0,41,0.832398,3e-05,0.493277,0.847188
0,42,1.043141,3e-05,0.479294,1.431067
0,43,0.766602,3e-05,0.498582,0.671747
0,44,0.933421,3e-05,0.495024,1.102099
0,45,0.910193,3e-05,0.493686,1.062289
0,46,0.730659,3e-05,0.502243,0.586904
0,47,0.843395,3e-05,0.489195,0.891617
0,48,0.714150,3e-05,0.437054,0.719500
0,49,0.881451,3e-05,0.476549,1.036062
0,50,0.727265,3e-05,0.496209,0.588108
0,51,0.858006,3e-05,0.450959,1.021825
0,52,0.683893,3e-05,0.447960,0.609028
0,53,0.767875,3e-05,0.460352,0.784251
0,54,0.758396,3e-05,0.483784,0.714586
0,55,0.729156,3e-05,0.424637,0.783746
0,56,0.750898,3e-05,0.438014,0.782045
0,57,0.655824,3e-05,0.406711,0.626589
0,58,0.824421,3e-05,0.437096,0.989280
0,59,0.787558,3e-05,0.464124,0.820785
0,60,0.631243,3e-05,0.394220,0.602694
0,61,0.707977,3e-05,0.359702,0.871792
0,62,0.993751,3e-05,0.380040,1.526682
0,63,0.599064,3e-05,0.407758,0.482691
0,64,0.711371,3e-05,0.388522,0.808232
0,65,0.735214,3e-05,0.433295,0.765729
0,66,0.896192,3e-05,0.427633,1.151895
0,67,0.875312,3e-05,0.355885,1.288335
0,68,0.846671,3e-05,0.422190,1.064650
0,69,0.955907,3e-05,0.417380,1.342148
0,70,0.697937,3e-05,0.393100,0.775446
0,71,0.641890,3e-05,0.418867,0.565733
0,72,0.650070,3e-05,0.388076,0.672234
0,73,0.740338,3e-05,0.454279,0.709242
0,74,0.816720,3e-05,0.392250,1.034071
0,75,0.872376,3e-05,0.441681,1.088415
0,76,0.921809,3e-05,0.373935,1.367613
0,77,0.916188,3e-05,0.353644,1.390477
0,78,0.746641,3e-05,0.486728,0.657140
0,79,0.747969,3e-05,0.403456,0.884693
0,80,0.687510,3e-05,0.413785,0.701599
0,81,0.638905,3e-05,0.399220,0.587916
0,82,0.645775,3e-05,0.411194,0.578145
0,83,0.827563,3e-05,0.362273,1.147751
0,84,0.713410,3e-05,0.435320,0.721325
0,85,0.861976,3e-05,0.339297,1.287941
0,86,0.710047,3e-05,0.390311,0.806929
0,87,0.975091,3e-05,0.380479,1.474228
0,88,0.643502,3e-05,0.382011,0.662292
0,89,0.674181,3e-05,0.365235,0.791853
0,90,0.766784,3e-05,0.374288,0.970143
0,91,0.698747,3e-05,0.433891,0.651379
0,92,0.658411,3e-05,0.418974,0.612925
0,93,0.615413,3e-05,0.382345,0.592213
0,94,0.621840,3e-05,0.359349,0.677528
0,95,0.790295,3e-05,0.393569,0.990764
0,96,0.686826,3e-05,0.368112,0.808243
0,97,0.751629,3e-05,0.409400,0.867555
0,98,0.784501,3e-05,0.364125,1.027261
0,99,0.678394,3e-05,0.403165,0.680342
0,100,0.720000,3e-05,0.394987,0.816555
0,101,0.665383,3e-05,0.343398,0.818054
0,102,0.782793,3e-05,0.364715,1.047462
0,103,0.683581,3e-05,0.338601,0.868746
0,104,0.689777,3e-05,0.362217,0.817743
0,105,0.763977,3e-05,0.381802,0.964251
0,106,0.678731,3e-05,0.408555,0.671195
0,107,0.723259,3e-05,0.383882,0.853958
0,108,0.600585,3e-05,0.374591,0.578506
0,109,0.788947,3e-05,0.363357,1.064957
