Epoch,Step,Loss,LR,LossUnknown,LossKnown,LossBoundary
1,1,0.621678,0.00020000,0.213955,0.415907,0.366132
1,2,1.637670,0.00020000,1.011498,0.640601,0.562111
1,3,1.633307,0.00020000,0.998805,0.652611,0.569241
1,4,0.444015,0.00020000,0.239261,0.263840,0.178370
1,5,0.406828,0.00020000,0.173553,0.334992,0.199776
1,6,0.337172,0.00020000,0.171833,0.143819,0.150957
1,7,0.308130,0.00020000,0.152973,0.166339,0.138524
1,8,0.350373,0.00020000,0.151135,0.187968,0.180440
1,9,0.323157,0.00020000,0.152584,0.142209,0.156352
1,10,0.304504,0.00020000,0.166567,0.140775,0.123860
1,11,0.284038,0.00020000,0.146045,0.142244,0.123769
1,12,0.240411,0.00020000,0.118848,0.110059,0.110557
1,13,0.300882,0.00020000,0.151285,0.117945,0.137803
1,14,0.277381,0.00020000,0.146938,0.095759,0.120867
1,15,0.281604,0.00020000,0.148549,0.124476,0.120608
1,16,0.245250,0.00020000,0.126299,0.136468,0.105304
1,17,0.270838,0.00020000,0.136336,0.136378,0.120864
1,18,0.245844,0.00020000,0.134221,0.114723,0.100150
1,19,0.284026,0.00020000,0.148201,0.130253,0.122799
1,20,0.247887,0.00020000,0.130066,0.105618,0.107259
1,21,0.238705,0.00020000,0.128638,0.073685,0.102699
1,22,0.243743,0.00020000,0.133770,0.091464,0.100827
1,23,0.240794,0.00020000,0.134780,0.065184,0.099495
1,24,0.231247,0.00020000,0.129997,0.076143,0.093636
1,25,0.231231,0.00020000,0.125909,0.073764,0.097946
1,26,0.240475,0.00020000,0.136532,0.075234,0.096419
1,27,0.214025,0.00020000,0.122375,0.068083,0.084842
1,28,0.225380,0.00020000,0.130881,0.062825,0.088216
1,29,0.215611,0.00020000,0.124305,0.058347,0.085471
1,30,0.223805,0.00020000,0.131178,0.064615,0.086166
1,31,0.226233,0.00020000,0.131553,0.058208,0.088859
1,32,0.225996,0.00020000,0.127365,0.057634,0.092868
1,33,0.224125,0.00020000,0.131676,0.058882,0.086561
1,34,0.237111,0.00020000,0.137206,0.068838,0.093021
1,35,0.239876,0.00020000,0.145663,0.058616,0.088351
1,36,0.225070,0.00020000,0.136709,0.061209,0.082241
1,37,0.204054,0.00020000,0.123095,0.053516,0.075607
1,38,0.239089,0.00020000,0.139390,0.062630,0.093436
1,39,0.213907,0.00020000,0.129720,0.060628,0.078124
1,40,0.228573,0.00020000,0.139653,0.062854,0.082635
1,41,0.229583,0.00020000,0.141568,0.069322,0.081083
1,42,0.211916,0.00020000,0.129701,0.057712,0.076444
1,43,0.200869,0.00020000,0.125502,0.051155,0.070251
1,44,0.211414,0.00020000,0.126366,0.073224,0.077725
1,45,0.218250,0.00020000,0.122870,0.076235,0.087756
1,46,0.207686,0.00020000,0.126383,0.058436,0.075459
1,47,0.209931,0.00020000,0.116594,0.093032,0.084034
1,48,0.250101,0.00020000,0.135019,0.109156,0.104166
1,49,0.214116,0.00020000,0.124608,0.088562,0.080652
1,50,0.210467,0.00020000,0.123916,0.066808,0.079870
1,51,0.226660,0.00020000,0.132005,0.070353,0.087619
1,52,0.203874,0.00020000,0.126135,0.051843,0.072555
1,53,0.196689,0.00020000,0.118505,0.052617,0.072923
1,54,0.221572,0.00020000,0.134593,0.063236,0.080656
1,55,0.219905,0.00020000,0.138251,0.066378,0.075017
1,56,0.208903,0.00020000,0.131803,0.068381,0.070261
1,57,0.211020,0.00020000,0.125680,0.064858,0.078854
1,58,0.201127,0.00020000,0.121470,0.056274,0.074029
1,59,0.200635,0.00020000,0.122256,0.065975,0.071781
1,60,0.195514,0.00020000,0.123454,0.048047,0.067255
1,61,0.192586,0.00020000,0.117386,0.057947,0.069405
1,62,0.193225,0.00020000,0.121628,0.052641,0.066333
1,63,0.186252,0.00020000,0.119133,0.048930,0.062225
1,64,0.184862,0.00020000,0.118564,0.045650,0.061733
1,65,0.178729,0.00020000,0.117142,0.045639,0.057022
1,66,0.184507,0.00020000,0.113081,0.049946,0.066431
1,67,0.185168,0.00020000,0.116204,0.051014,0.063862
1,68,0.190662,0.00020000,0.120616,0.050223,0.065023
1,69,0.177016,0.00020000,0.107909,0.053294,0.063777
1,70,0.175472,0.00020000,0.109491,0.044374,0.061544
1,71,0.177880,0.00020000,0.109117,0.044882,0.064275
1,72,0.194017,0.00020000,0.117556,0.056616,0.070799
1,73,0.184083,0.00020000,0.113186,0.049533,0.065944
1,74,0.198239,0.00020000,0.121983,0.052586,0.070997
1,75,0.176323,0.00020000,0.107883,0.052329,0.063207
1,76,0.187204,0.00020000,0.112755,0.054425,0.069007
1,77,0.190767,0.00020000,0.120094,0.051248,0.065548
1,78,0.162182,0.00020000,0.100484,0.050982,0.056599
1,79,0.197151,0.00020000,0.125673,0.048757,0.066602
1,80,0.160840,0.00020000,0.100417,0.043994,0.056024
1,81,0.159361,0.00020000,0.098143,0.042609,0.056957
1,82,0.200419,0.00020000,0.126102,0.054196,0.068898
1,83,0.180779,0.00020000,0.106014,0.061424,0.068622
1,84,0.187008,0.00020000,0.113391,0.049204,0.068697
1,85,0.154892,0.00020000,0.087198,0.056128,0.062081
1,86,0.174562,0.00020000,0.104110,0.051285,0.065324
1,87,0.157283,0.00020000,0.092724,0.044317,0.060127
1,88,0.157751,0.00020000,0.096529,0.045707,0.056652
1,89,0.181223,0.00020000,0.109897,0.047306,0.066595
1,90,0.156630,0.00020000,0.092706,0.052014,0.058722
1,91,0.177379,0.00020000,0.104729,0.054351,0.067215
