Epoch,Step,Loss,LR,DiffTarget,X0Target
0,1,1.395417,3e-05,0.731162,1.625674
0,2,1.730329,3e-05,0.847077,2.143570
0,3,1.303633,3e-05,0.739812,1.390118
0,4,1.287428,3e-05,0.681518,1.524008
0,5,1.179122,3e-05,0.687502,1.209832
0,6,1.366420,3e-05,0.722609,1.576859
0,7,1.169676,3e-05,0.628719,1.346391
0,8,1.204521,3e-05,0.661090,1.354979
0,9,1.153442,3e-05,0.602820,1.379951
0,10,1.442598,3e-05,0.664912,1.948704
0,11,1.333895,3e-05,0.597321,1.853543
0,12,1.152485,3e-05,0.619776,1.340660
0,13,1.083015,3e-05,0.613667,1.179963
0,14,1.294590,3e-05,0.561143,1.838330
0,15,1.341233,3e-05,0.610973,1.821337
0,16,1.168366,3e-05,0.553659,1.547840
0,17,1.071536,3e-05,0.550564,1.315434
0,18,1.173038,3e-05,0.596532,1.449852
0,19,1.179701,3e-05,0.569656,1.540976
0,20,0.871348,3e-05,0.544351,0.830087
0,21,0.979639,3e-05,0.523711,1.167308
0,22,0.963562,3e-05,0.522547,1.133309
0,23,1.025025,3e-05,0.587859,1.112414
0,24,0.946054,3e-05,0.633078,0.808929
0,25,1.111670,3e-05,0.547171,1.432652
0,26,0.932062,3e-05,0.484356,1.138416
0,27,1.150420,3e-05,0.563614,1.493337
0,28,0.931819,3e-05,0.438877,1.247440
0,29,0.881158,3e-05,0.419974,1.150223
0,30,0.904106,3e-05,0.539377,0.927836
0,31,0.991594,3e-05,0.517707,1.219056
0,32,1.106321,3e-05,0.497003,1.537577
0,33,0.925128,3e-05,0.466503,1.172183
0,34,0.830391,3e-05,0.461023,0.947318
0,35,0.797695,3e-05,0.392050,1.012287
0,36,0.738290,3e-05,0.420684,0.807388
0,37,0.894387,3e-05,0.380425,1.283743
0,38,0.926006,3e-05,0.463149,1.177587
0,39,0.911467,3e-05,0.409174,1.262591
0,40,0.870363,3e-05,0.452756,1.061701
0,41,0.751148,3e-05,0.378247,0.946138
0,42,0.727010,3e-05,0.402825,0.842039
0,43,0.731446,3e-05,0.398970,0.852600
0,44,0.789705,3e-05,0.416146,0.961903
0,45,0.617939,3e-05,0.369575,0.640597
0,46,0.675660,3e-05,0.377617,0.759601
0,47,0.677134,3e-05,0.369898,0.802479
0,48,0.839900,3e-05,0.402967,1.089299
0,49,0.774297,3e-05,0.381455,0.997890
0,50,0.747930,3e-05,0.358080,0.988457
0,51,0.777816,3e-05,0.400252,0.948793
0,52,0.795735,3e-05,0.361707,1.104562
0,53,0.804836,3e-05,0.424861,0.961702
0,54,1.009856,3e-05,0.435106,1.438476
0,55,0.630278,3e-05,0.424107,0.535258
0,56,0.780306,3e-05,0.371440,1.035132
0,57,0.850873,3e-05,0.372065,1.184326
0,58,0.520580,3e-05,0.343779,0.452801
0,59,0.819862,3e-05,0.339621,1.213382
0,60,0.642646,3e-05,0.364078,0.701805
0,61,0.711971,3e-05,0.341813,0.959233
0,62,0.995457,3e-05,0.398533,1.508470
0,63,0.619720,3e-05,0.312961,0.781121
0,64,0.837428,3e-05,0.335442,1.266367
0,65,0.662739,3e-05,0.320570,0.871482
0,66,0.778702,3e-05,0.348193,1.071161
0,67,0.619349,3e-05,0.377576,0.632164
0,68,0.790092,3e-05,0.406731,0.971626
0,69,0.624280,3e-05,0.365482,0.642774
0,70,0.628129,3e-05,0.395558,0.594334
0,71,0.639631,3e-05,0.349377,0.737039
0,72,0.556428,3e-05,0.274959,0.725236
0,73,0.579278,3e-05,0.313289,0.676830
0,74,0.681789,3e-05,0.365946,0.791101
0,75,0.604289,3e-05,0.342842,0.672142
0,76,0.627964,3e-05,0.346344,0.719751
0,77,0.687897,3e-05,0.314887,0.952215
0,78,0.649003,3e-05,0.382838,0.681498
0,79,0.559244,3e-05,0.307155,0.635979
0,80,0.602478,3e-05,0.387771,0.560759
0,81,0.534401,3e-05,0.341891,0.495125
0,82,0.550736,3e-05,0.328241,0.566483
0,83,0.664188,3e-05,0.333759,0.849633
0,84,0.516166,3e-05,0.340927,0.445429
0,85,0.623675,3e-05,0.377684,0.617461
0,86,0.675415,3e-05,0.335830,0.867026
0,87,0.762906,3e-05,0.397318,0.921909
0,88,0.686894,3e-05,0.387850,0.751841
0,89,0.697262,3e-05,0.370041,0.813794
0,90,0.579454,3e-05,0.339287,0.609937
0,91,0.880495,3e-05,0.364271,1.284158
0,92,0.578353,3e-05,0.318109,0.641398
0,93,0.649111,3e-05,0.352852,0.754001
0,94,0.525387,3e-05,0.290135,0.603070
0,95,0.560003,3e-05,0.330376,0.582136
0,96,0.632578,3e-05,0.358035,0.700612
0,97,0.406949,3e-05,0.235850,0.448574
0,98,0.679663,3e-05,0.375659,0.779241
0,99,0.592394,3e-05,0.375034,0.552604
0,100,0.665033,3e-05,0.316186,0.885998
0,101,0.610835,3e-05,0.348101,0.667827
0,102,0.833163,3e-05,0.365481,1.174580
0,103,0.690191,3e-05,0.373195,0.804599
0,104,0.603684,3e-05,0.343036,0.664781
0,105,0.472736,3e-05,0.296134,0.452433
0,106,0.644991,3e-05,0.292959,0.895788
0,107,0.615189,3e-05,0.269156,0.882779
0,108,0.618914,3e-05,0.263674,0.897618
0,109,0.572543,3e-05,0.279093,0.747778
0,110,0.637618,3e-05,0.327024,0.790469
0,111,0.711305,3e-05,0.356767,0.881030
0,112,0.763838,3e-05,0.418197,0.871582
0,113,0.641726,3e-05,0.283108,0.902171
0,114,0.575768,3e-05,0.330116,0.623119
0,115,0.625520,3e-05,0.345158,0.700571
0,116,0.709105,3e-05,0.315163,0.988277
0,117,0.556204,3e-05,0.304677,0.643850
0,118,0.596807,3e-05,0.355456,0.611733
0,119,0.571213,3e-05,0.362624,0.539298
0,120,0.722055,3e-05,0.323983,0.997933
0,121,0.594289,3e-05,0.307736,0.728664
0,122,0.655951,3e-05,0.307600,0.881684
0,123,0.513663,3e-05,0.322242,0.495825
0,124,0.501315,3e-05,0.323458,0.457632
0,125,0.480803,3e-05,0.281385,0.500623
0,126,0.574775,3e-05,0.337520,0.606397
0,127,0.519109,3e-05,0.346476,0.436933
0,128,0.707716,3e-05,0.365915,0.869185
0,129,0.475115,3e-05,0.320898,0.400362
0,130,0.514479,3e-05,0.334652,0.464662
0,131,0.596131,3e-05,0.362376,0.601247
0,132,0.817236,3e-05,0.331001,1.215586
0,133,0.583703,3e-05,0.264383,0.811140
0,134,0.532239,3e-05,0.274802,0.662893
0,135,0.556140,3e-05,0.285929,0.680597
0,136,0.604756,3e-05,0.252556,0.883310
0,137,0.585481,3e-05,0.319438,0.680628
0,138,0.569171,3e-05,0.318417,0.643702
0,139,0.643988,3e-05,0.308904,0.849828
0,140,0.538509,3e-05,0.287680,0.643267
0,141,0.601238,3e-05,0.332677,0.691282
0,142,0.497047,3e-05,0.275099,0.573230
0,143,0.475346,3e-05,0.324818,0.387555
0,144,0.519978,3e-05,0.308242,0.543304
0,145,0.599425,3e-05,0.278196,0.819715
0,146,0.707223,3e-05,0.233860,1.187419
0,147,0.639509,3e-05,0.279357,0.905012
0,148,0.532235,3e-05,0.359326,0.434287
0,149,0.671095,3e-05,0.334990,0.841682
0,150,0.525435,3e-05,0.334024,0.496921
0,151,0.530462,3e-05,0.238569,0.726788
0,152,0.454986,3e-05,0.298178,0.400223
0,153,0.505573,3e-05,0.276022,0.584698
0,154,0.573326,3e-05,0.297553,0.699306
0,155,0.719154,3e-05,0.312143,1.016252
0,156,0.593264,3e-05,0.321601,0.689692
0,157,0.510563,3e-05,0.313671,0.504478
0,158,0.529715,3e-05,0.331821,0.513759
0,159,0.522007,3e-05,0.241217,0.713935
0,160,0.528330,3e-05,0.293864,0.609936
0,161,0.573242,3e-05,0.298338,0.686330
0,162,0.539005,3e-05,0.305792,0.591474
0,163,0.580444,3e-05,0.282411,0.756922
0,164,0.743592,3e-05,0.308346,1.091854
0,165,0.622813,3e-05,0.266080,0.897557
0,166,0.485390,3e-05,0.273239,0.548004
0,167,0.579422,3e-05,0.286073,0.745528
0,168,0.463672,3e-05,0.284768,0.459662
0,169,0.636048,3e-05,0.240989,0.997314
