Epoch,Step,Loss_Total,Loss_Recon,Loss_KL,Loss_G_Adv,Loss_D
0,0,0.25439825654029846,0.25386843085289,529.8114013671875,0.0,0.0
0,0,0.24585959315299988,0.24524593353271484,613.6622314453125,0.0,0.0
0,10,0.14478667080402374,0.14336927235126495,1417.3919677734375,0.0,0.0
0,20,0.1634497344493866,0.16236990690231323,1079.8304443359375,0.0,0.0
0,30,0.14640212059020996,0.14579613506793976,605.9918823242188,0.0,0.0
0,40,0.15725377202033997,0.15606021881103516,1193.5601806640625,0.0,0.0
0,50,0.1395304948091507,0.13708722591400146,2443.2626953125,0.0,0.0
0,60,0.10593201220035553,0.10384003072977066,2091.98095703125,0.0,0.0
0,70,0.10551011562347412,0.10291285067796707,2597.262451171875,0.0,0.0
0,80,0.10283040255308151,0.09950795769691467,3322.44580078125,0.0,0.0
0,90,0.10037558525800705,0.09746640175580978,2909.180908203125,0.0,0.0
0,100,0.0941646620631218,0.090634785592556,3529.873046875,0.0,0.0
0,110,0.09833372384309769,0.09441296011209488,3920.763671875,0.0,0.0
0,120,0.08546409010887146,0.08150625228881836,3957.840087890625,0.0,0.0
1,130,0.07472825795412064,0.0707554742693901,3972.786865234375,0.0,0.0
1,140,0.07856479287147522,0.07459226995706558,3972.524658203125,0.0,0.0
1,150,0.08161165565252304,0.07772985845804214,3881.79833984375,0.0,0.0
1,160,0.07119137048721313,0.06725989282131195,3931.47705078125,0.0,0.0
1,170,0.07490082830190659,0.0705408826470375,4359.9453125,0.0,0.0
1,180,0.08299419283866882,0.07868771255016327,4306.478515625,0.0,0.0
1,190,0.07274948060512543,0.06831716001033783,4432.3173828125,0.0,0.0
1,200,0.07449067384004593,0.07009945064783096,4391.22021484375,0.0,0.0
1,210,0.06756994873285294,0.06296723335981369,4602.712890625,0.0,0.0
1,220,0.06936943531036377,0.06450226902961731,4867.16796875,0.0,0.0
1,230,0.07511217892169952,0.0704760029911995,4636.17578125,0.0,0.0
1,240,0.08355002850294113,0.07898848503828049,4561.54296875,0.0,0.0
