Epoch,Step,Loss,LR,LossUnknown,LossKnown,LossBoundary,LossCoarse,LossGrad
1,1,0.491230,0.00020000,0.182985,0.313686,0.258981,0.178953,0.000000
1,2,0.776365,0.00020000,0.138414,0.468600,0.577293,0.137984,0.000000
1,3,0.721628,0.00020000,0.220360,0.478019,0.432069,0.213967,0.000000
1,4,0.582742,0.00020000,0.180432,0.324461,0.352188,0.176765,0.000000
1,5,0.215361,0.00020000,0.108553,0.104911,0.085953,0.103638,0.000000
1,6,0.224666,0.00020000,0.090688,0.093038,0.116013,0.086619,0.000000
1,7,0.374339,0.00020000,0.168374,0.138522,0.175468,0.166453,0.000000
1,8,0.285932,0.00020000,0.087616,0.191554,0.170901,0.082596,0.000000
1,9,0.175135,0.00020000,0.071171,0.149314,0.083121,0.059110,0.000000
1,10,0.212959,0.00020000,0.106745,0.074354,0.089131,0.096467,0.000000
1,11,0.160753,0.00020000,0.068556,0.080316,0.077656,0.065096,0.000000
1,12,0.208705,0.00020000,0.081303,0.083091,0.111354,0.077387,0.000000
1,13,0.262441,0.00020000,0.072585,0.282132,0.155202,0.064412,0.000000
1,14,0.220237,0.00020000,0.084864,0.134321,0.114210,0.077299,0.000000
1,15,0.317307,0.00020000,0.108159,0.156843,0.183598,0.098660,0.000000
1,16,0.120407,0.00020000,0.061896,0.058217,0.047201,0.054888,0.000000
1,17,0.185174,0.00020000,0.067657,0.136642,0.098309,0.055439,0.000000
1,18,0.143644,0.00020000,0.071042,0.057823,0.060007,0.068131,0.000000
1,19,0.157741,0.00020000,0.061568,0.089975,0.081440,0.057354,0.000000
1,20,0.138637,0.00020000,0.060111,0.072195,0.066013,0.052929,0.000000
1,21,0.109592,0.00020000,0.049179,0.046923,0.051964,0.037569,0.000000
1,22,0.161379,0.00020000,0.085749,0.059730,0.061629,0.080282,0.000000
1,23,0.104771,0.00020000,0.044352,0.069727,0.050544,0.029028,0.000000
1,24,0.187954,0.00020000,0.063607,0.050563,0.113718,0.055719,0.000000
1,25,0.126462,0.00020000,0.053410,0.069229,0.061207,0.049213,0.000000
1,26,0.161984,0.00020000,0.055511,0.064709,0.094960,0.050431,0.000000
1,27,0.181760,0.00020000,0.063176,0.073459,0.105693,0.055456,0.000000
1,28,0.109324,0.00020000,0.049359,0.063439,0.049420,0.042005,0.000000
1,29,0.157727,0.00020000,0.067181,0.098785,0.074572,0.060949,0.000000
1,30,0.161357,0.00020000,0.050585,0.096814,0.097661,0.034306,0.000000
1,31,0.116162,0.00020000,0.050716,0.085638,0.053650,0.032314,0.000000
1,32,0.171772,0.00020000,0.083264,0.061687,0.074272,0.080671,0.000000
1,33,0.115142,0.00020000,0.047055,0.055414,0.058958,0.035875,0.000000
1,34,0.166905,0.00020000,0.062777,0.164641,0.082285,0.053790,0.000000
1,35,0.121801,0.00020000,0.042163,0.127554,0.064193,0.026899,0.000000
1,36,0.085940,0.00020000,0.036956,0.047254,0.041868,0.023908,0.000000
1,37,0.072731,0.00020000,0.034161,0.045637,0.031463,0.025431,0.000000
1,38,0.080265,0.00020000,0.033043,0.061020,0.038408,0.027113,0.000000
1,39,0.139514,0.00020000,0.044554,0.081386,0.084195,0.026263,0.000000
1,40,0.149655,0.00020000,0.048614,0.080546,0.090397,0.025896,0.000000
1,41,0.076273,0.00020000,0.037578,0.042298,0.032241,0.022240,0.000000
1,42,0.099470,0.00020000,0.042571,0.059104,0.047453,0.035351,0.000000
1,43,0.115579,0.00020000,0.047989,0.082780,0.055532,0.037808,0.000000
1,44,0.114991,0.00020000,0.057259,0.056186,0.047310,0.048029,0.000000
1,45,0.074142,0.00020000,0.039004,0.026872,0.029626,0.028253,0.000000
1,46,0.101501,0.00020000,0.054854,0.045966,0.038333,0.037167,0.000000
1,47,0.152431,0.00020000,0.076115,0.069372,0.062888,0.064915,0.000000
1,48,0.107846,0.00020000,0.041645,0.079627,0.055481,0.027575,0.000000
1,49,0.134158,0.00020000,0.056206,0.037040,0.069979,0.042691,0.000000
