Epoch,Step,Loss,LR
1,1,10.969669,0.00005000
1,2,2.175691,0.00005000
1,3,0.593421,0.00005000
1,4,3.364821,0.00005000
1,5,3.584621,0.00005000
1,6,1.191690,0.00005000
1,7,17.255602,0.00005000
1,8,0.172178,0.00005000
1,9,2.111592,0.00005000
1,10,23.634203,0.00005000
1,11,0.433518,0.00005000
1,12,2.493946,0.00005000
1,13,3.078370,0.00005000
1,14,0.380715,0.00005000
1,15,0.992813,0.00005000
1,16,3.497473,0.00005000
2,17,1.671735,0.00005000
2,18,1.116047,0.00005000
2,19,0.176953,0.00005000
2,20,0.596562,0.00005000
2,21,2.551375,0.00005000
2,22,0.389796,0.00005000
2,23,2.117159,0.00005000
2,24,0.957781,0.00005000
2,25,0.443719,0.00005000
2,26,12.670490,0.00005000
2,27,22.813068,0.00005000
2,28,2.218861,0.00005000
2,29,2.819257,0.00005000
2,30,5.405330,0.00005000
2,31,2.140458,0.00005000
2,32,1.773433,0.00005000
3,33,0.601138,0.00004999
3,34,0.397102,0.00004999
3,35,22.389933,0.00004999
3,36,0.945499,0.00004999
3,37,1.929411,0.00004999
3,38,1.918116,0.00004999
3,39,0.179607,0.00004999
3,40,1.715335,0.00004999
3,41,2.471788,0.00004999
3,42,10.731219,0.00004999
3,43,2.127139,0.00004999
3,44,4.404166,0.00004999
3,45,1.081395,0.00004999
3,46,1.960838,0.00004999
3,47,1.482452,0.00004999
3,48,0.452417,0.00004999
4,49,0.591898,0.00004999
4,50,0.447543,0.00004999
4,51,2.365023,0.00004999
4,52,1.664322,0.00004999
4,53,0.385146,0.00004999
4,54,1.487659,0.00004999
4,55,1.914111,0.00004999
4,56,2.064484,0.00004999
4,57,9.899408,0.00004999
4,58,0.177590,0.00004999
4,59,21.904474,0.00004999
4,60,0.925687,0.00004999
4,61,1.825879,0.00004999
4,62,1.071514,0.00004999
4,63,1.799609,0.00004999
4,64,4.214216,0.00004999
5,65,1.743627,0.00004998
5,66,1.415413,0.00004998
5,67,1.868656,0.00004998
5,68,1.052290,0.00004998
5,69,0.179423,0.00004998
5,70,21.616877,0.00004998
5,71,10.286488,0.00004998
5,72,1.861149,0.00004998
5,73,0.915677,0.00004998
5,74,2.199781,0.00004998
5,75,0.391207,0.00004998
5,76,0.441837,0.00004998
5,77,0.586307,0.00004998
5,78,4.222546,0.00004998
5,79,1.825036,0.00004998
5,80,1.643401,0.00004998
6,81,0.581598,0.00004997
6,82,0.385169,0.00004997
6,83,21.822233,0.00004997
6,84,0.902036,0.00004997
6,85,1.836975,0.00004997
6,86,1.803158,0.00004997
6,87,0.176535,0.00004997
6,88,1.629067,0.00004997
6,89,2.052068,0.00004997
6,90,8.756173,0.00004997
6,91,1.784461,0.00004997
6,92,3.632617,0.00004997
6,93,1.042339,0.00004997
6,94,1.658363,0.00004997
6,95,1.385565,0.00004997
6,96,0.452068,0.00004997
7,97,0.594094,0.00004995
7,98,0.446833,0.00004995
7,99,1.966132,0.00004995
