Epoch,Step,DiffLoss_unknown,DiffLoss_known,KnownConsistency,BoundaryX0Cons,UnknownRatio
1,1,0.8297386169433594,0.8673892021179199,0.18647173047065735,3.3592164516448975,0.5
1,2,0.8625935912132263,0.9814174175262451,0.3789845108985901,0.40870940685272217,0.5
1,3,0.13069701194763184,0.14703479409217834,0.15956372022628784,0.14647193253040314,0.5
1,4,0.7696454524993896,0.8292160034179688,0.41312605142593384,0.8374674916267395,0.5
1,5,0.7563765645027161,0.808794379234314,0.39708518981933594,0.9160322546958923,0.5
1,6,0.39759910106658936,0.43872499465942383,0.24953626096248627,0.24906717240810394,0.5
1,7,0.7082927227020264,0.7673594951629639,0.04596108943223953,5.500730514526367,0.5
1,8,0.015705887228250504,0.017043258994817734,0.054140232503414154,0.050068605691194534,0.5
1,9,0.7261636257171631,0.7918970584869385,0.35013091564178467,0.43694019317626953,0.5
1,10,0.6319534778594971,0.6902672648429871,0.0009091062820516527,7.653918266296387,0.5
1,11,0.07994678616523743,0.08520545065402985,0.1176338940858841,0.1125158816576004,0.5
1,12,0.6890390515327454,0.7630162239074707,0.37549880146980286,0.5764021873474121,0.5
1,13,0.6192036271095276,0.6942634582519531,0.33637702465057373,0.7969384789466858,0.5
1,14,0.06314942240715027,0.06556344032287598,0.1035691350698471,0.10131000727415085,0.5
1,15,0.3064640760421753,0.32368093729019165,0.21137841045856476,0.2163424789905548,0.5
1,16,0.5543177723884583,0.629629909992218,0.2721187472343445,0.9614871740341187,0.5
2,17,0.665755033493042,0.7247488498687744,0.2798701226711273,0.31391850113868713,0.5
2,18,0.37291648983955383,0.40060368180274963,0.22785836458206177,0.23343801498413086,0.5
2,19,0.016183165833353996,0.0166932325810194,0.05302932858467102,0.05154423788189888,0.5
2,20,0.13205116987228394,0.13061824440956116,0.14174970984458923,0.14793497323989868,0.5
2,21,0.5130723118782043,0.5963103771209717,0.28891825675964355,0.6598652005195618,0.5
2,22,0.06475422531366348,0.06533626466989517,0.1032106950879097,0.10381796956062317,0.5
2,23,0.5847523808479309,0.6603237390518188,0.3249657452106476,0.48896461725234985,0.5
2,24,0.2957269251346588,0.31286177039146423,0.20431357622146606,0.2086598128080368,0.5
2,25,0.08190756291151047,0.08529234677553177,0.11775454878807068,0.11525708436965942,0.5
2,26,0.4181078374385834,0.525965690612793,0.03855331242084503,4.07392692565918,0.5
2,27,0.4143323004245758,0.5162583589553833,0.0009000132558867335,7.456658840179443,0.5
2,28,0.4682832658290863,0.5651392340660095,0.2774643898010254,0.5648581981658936,0.5
2,29,0.44690683484077454,0.5392851829528809,0.23307228088378906,0.7740262150764465,0.5
2,30,0.3967444598674774,0.5062776803970337,0.11362859606742859,1.6573009490966797,0.5
2,31,0.4898085296154022,0.5750265717506409,0.28648751974105835,0.5310829877853394,0.5
2,32,0.61069256067276,0.6865894794464111,0.3035711944103241,0.3660178482532501,0.5
3,33,0.1332481950521469,0.13150237500667572,0.14270946383476257,0.1490146666765213,0.5
3,34,0.06607236713171005,0.06566479802131653,0.10372991114854813,0.10579101741313934,0.5
3,35,0.35770055651664734,0.46444255113601685,0.0008929636678658426,7.335566520690918,0.5
3,36,0.292173832654953,0.3063500225543976,0.20006096363067627,0.20600035786628723,0.5
3,37,0.5328449010848999,0.6171798706054688,0.3037336468696594,0.44511115550994873,0.5
