Epoch,Step,Loss,LR,DiffTarget,X0Target
0,1,1.035029,3e-05,0.648960,0.953688
0,2,1.511780,3e-05,0.880283,1.513899
0,3,1.695845,3e-05,0.844148,2.106694
0,4,0.912353,3e-05,0.658862,0.638106
0,5,1.314651,3e-05,0.690293,1.555866
0,6,1.373733,3e-05,0.633304,1.818207
0,7,1.071683,3e-05,0.694198,0.930355
0,8,1.255257,3e-05,0.638848,1.545269
0,9,1.395005,3e-05,0.713298,1.706017
0,10,1.375979,3e-05,0.599264,1.919492
0,11,1.556100,3e-05,0.705269,2.107437
0,12,1.582492,3e-05,0.758267,2.050633
0,13,1.242084,3e-05,0.661693,1.476594
0,14,0.968214,3e-05,0.565385,1.009783
0,15,0.839806,3e-05,0.496597,0.863974
0,16,1.325986,3e-05,0.676477,1.628113
0,17,1.403224,3e-05,0.570716,2.104345
0,18,1.361857,3e-05,0.638296,1.823606
0,19,1.026458,3e-05,0.611223,1.061230
0,20,1.271497,3e-05,0.613498,1.636239
0,21,1.039758,3e-05,0.514735,1.304857
0,22,0.891134,3e-05,0.456698,1.093925
0,23,1.215941,3e-05,0.534998,1.706158
0,24,1.170813,3e-05,0.553899,1.534554
0,25,0.982654,3e-05,0.553606,1.091305
0,26,0.862054,3e-05,0.532216,0.847973
0,27,1.688990,3e-05,0.559652,2.830731
0,28,1.107392,3e-05,0.582798,1.325606
0,29,0.943187,3e-05,0.563619,0.980945
0,30,0.946984,3e-05,0.512996,1.106210
0,31,1.137504,3e-05,0.491911,1.643677
0,32,0.725122,3e-05,0.405227,0.799593
0,33,0.872849,3e-05,0.549182,0.835797
0,34,0.855773,3e-05,0.476550,0.980793
0,35,0.961516,3e-05,0.554804,1.024639
0,36,1.127095,3e-05,0.608623,1.335255
0,37,0.834254,3e-05,0.452455,0.973911
0,38,0.961830,3e-05,0.581193,0.963903
0,39,1.111603,3e-05,0.503646,1.541363
0,40,0.824755,3e-05,0.455999,0.940726
0,41,0.876002,3e-05,0.441534,1.103706
0,42,1.152442,3e-05,0.528134,1.592850
0,43,1.098522,3e-05,0.535496,1.429823
0,44,0.862327,3e-05,0.498039,0.906619
0,45,1.274977,3e-05,0.495501,1.965151
0,46,0.800181,3e-05,0.427098,0.928401
0,47,0.774013,3e-05,0.485611,0.751079
0,48,0.787837,3e-05,0.419503,0.955693
0,49,0.815254,3e-05,0.543791,0.670357
0,50,0.702399,3e-05,0.390643,0.805035
0,51,0.827324,3e-05,0.441814,0.957541
0,52,0.724502,3e-05,0.483336,0.620725
0,53,0.802648,3e-05,0.438207,0.934119
0,54,0.700264,3e-05,0.403937,0.738177
0,55,0.570520,3e-05,0.358305,0.544773
0,56,1.076030,3e-05,0.525614,1.412360
0,57,0.923991,3e-05,0.526043,1.023957
0,58,0.721708,3e-05,0.395523,0.831483
0,59,0.871476,3e-05,0.498778,0.965291
0,60,0.725848,3e-05,0.332837,0.987527
0,61,0.852128,3e-05,0.343706,1.287781
0,62,0.891829,3e-05,0.479331,1.027030
0,63,0.759175,3e-05,0.422651,0.831339
0,64,0.667218,3e-05,0.430944,0.591871
0,65,0.609650,3e-05,0.380301,0.575034
0,66,0.863643,3e-05,0.433248,1.079414
0,67,0.697905,3e-05,0.353151,0.878326
0,68,0.837343,3e-05,0.419781,1.028197
0,69,0.817500,3e-05,0.482378,0.837947
0,70,0.731825,3e-05,0.384727,0.867246
0,71,0.745774,3e-05,0.480623,0.693049
0,72,0.825072,3e-05,0.486086,0.855469
0,73,0.719598,3e-05,0.440611,0.707535
0,74,0.763903,3e-05,0.441743,0.807777
0,75,0.673046,3e-05,0.418718,0.667698
0,76,0.850439,3e-05,0.407679,1.120458
0,77,1.096574,3e-05,0.429642,1.678862
0,78,0.858913,3e-05,0.416986,1.107559
0,79,0.691305,3e-05,0.430915,0.651976
0,80,0.832082,3e-05,0.373777,1.155022
0,81,0.729168,3e-05,0.506032,0.567648
0,82,0.774375,3e-05,0.497256,0.713512
0,83,0.544320,3e-05,0.327812,0.547474
0,84,0.911121,3e-05,0.343799,1.413992
0,85,1.047297,3e-05,0.446553,1.520755
0,86,0.822171,3e-05,0.440519,0.976088
0,87,0.644203,3e-05,0.391421,0.637130
0,88,0.636849,3e-05,0.379887,0.656779
0,89,0.959260,3e-05,0.402578,1.416657
0,90,0.719489,3e-05,0.415392,0.774031
0,91,0.692443,3e-05,0.397819,0.736447
0,92,0.935051,3e-05,0.448839,1.214352
0,93,0.695229,3e-05,0.441319,0.632617
0,94,0.799647,3e-05,0.465447,0.853163
0,95,0.631505,3e-05,0.439797,0.483966
0,96,0.809201,3e-05,0.438251,0.941744
0,97,0.671107,3e-05,0.357989,0.809276
0,98,0.805619,3e-05,0.455374,0.890252
0,99,0.745146,3e-05,0.476593,0.680836
0,100,0.623494,3e-05,0.414390,0.536325
0,101,0.517053,3e-05,0.304595,0.546348
0,102,0.654709,3e-05,0.395435,0.660929
0,103,0.884109,3e-05,0.339266,1.378603
0,104,0.764742,3e-05,0.324306,1.097975
0,105,0.690430,3e-05,0.413945,0.689582
0,106,0.872238,3e-05,0.427402,1.122953
0,107,0.721552,3e-05,0.367634,0.894782
0,108,0.753063,3e-05,0.467337,0.730257
0,109,0.860180,3e-05,0.415875,1.120384
0,110,0.952157,3e-05,0.453229,1.234053
0,111,0.585731,3e-05,0.413997,0.429928
0,112,0.553484,3e-05,0.330336,0.562419
0,113,0.870898,3e-05,0.336601,1.330965
0,114,0.891162,3e-05,0.447100,1.116733
0,115,0.671201,3e-05,0.405803,0.676574
0,116,0.609720,3e-05,0.299617,0.771830
0,117,0.783988,3e-05,0.355538,1.090324
0,118,0.619088,3e-05,0.330032,0.723455
0,119,0.725475,3e-05,0.401976,0.815722
0,120,0.730554,3e-05,0.425172,0.774344
0,121,0.733305,3e-05,0.454621,0.707929
0,122,0.870356,3e-05,0.455535,1.046483
0,123,0.580146,3e-05,0.298956,0.694579
0,124,0.714927,3e-05,0.364563,0.901848
0,125,0.593040,3e-05,0.350836,0.616124
0,126,0.689503,3e-05,0.425731,0.663446
0,127,0.782256,3e-05,0.416337,0.920982
0,128,0.728134,3e-05,0.421553,0.777877
0,129,0.640900,3e-05,0.404980,0.600662
0,130,0.540252,3e-05,0.333858,0.527809
0,131,0.732951,3e-05,0.416279,0.789773
0,132,0.755642,3e-05,0.457816,0.736262
0,133,0.646166,3e-05,0.401460,0.619655
0,134,0.725234,3e-05,0.459045,0.647074
0,135,0.591036,3e-05,0.390261,0.501582
0,136,0.685861,3e-05,0.411117,0.689784
0,137,0.706578,3e-05,0.478843,0.573465
0,138,0.735405,3e-05,0.456535,0.694993
0,139,0.683464,3e-05,0.422999,0.652633
0,140,0.780467,3e-05,0.451720,0.829177
0,141,0.620904,3e-05,0.406594,0.544810
0,142,0.603098,3e-05,0.347367,0.645849
0,143,0.725666,3e-05,0.440124,0.710943
0,144,0.626957,3e-05,0.477943,0.368828
0,145,0.641181,3e-05,0.415295,0.559206
0,146,0.524497,3e-05,0.372063,0.378573
0,147,0.739950,3e-05,0.366580,0.961114
0,148,0.658168,3e-05,0.394579,0.682033
0,149,0.786368,3e-05,0.410172,0.952673
0,150,0.692672,3e-05,0.390856,0.749982
0,151,0.623867,3e-05,0.376668,0.635378
0,152,0.636328,3e-05,0.458847,0.444410
0,153,0.861022,3e-05,0.323553,1.345974
0,154,0.852085,3e-05,0.387403,1.175980
0,155,0.647062,3e-05,0.391233,0.645773
0,156,0.924846,3e-05,0.401121,1.317754
0,157,0.911710,3e-05,0.360300,1.357747
0,158,0.668935,3e-05,0.433697,0.602723
0,159,0.838323,3e-05,0.485590,0.877098
0,160,0.590792,3e-05,0.371833,0.542813
0,161,0.612904,3e-05,0.353064,0.646177
0,162,0.623964,3e-05,0.423115,0.510350
0,163,0.619374,3e-05,0.394976,0.577443
0,164,0.708656,3e-05,0.428098,0.713614
0,165,0.896667,3e-05,0.470390,1.076374
0,166,0.831753,3e-05,0.349767,1.215091
0,167,0.835884,3e-05,0.432853,1.023317
0,168,0.628588,3e-05,0.400368,0.583150
0,169,0.791600,3e-05,0.378635,1.046991
0,170,0.676171,3e-05,0.294303,0.960993
0,171,0.845474,3e-05,0.361119,1.210243
0,172,0.672248,3e-05,0.306578,0.911706
0,173,0.602104,3e-05,0.366625,0.597486
0,174,0.696741,3e-05,0.475848,0.556504
0,175,0.559035,3e-05,0.329519,0.577326
0,176,0.611850,3e-05,0.302949,0.802105
0,177,0.952866,3e-05,0.490897,1.167961
0,178,0.827725,3e-05,0.430834,0.979904
0,179,0.740691,3e-05,0.397432,0.858036
0,180,0.857599,3e-05,0.435716,1.059514
0,181,0.627211,3e-05,0.439941,0.478097
0,182,0.604677,3e-05,0.356362,0.645058
0,183,0.673322,3e-05,0.460825,0.504343
0,184,0.650304,3e-05,0.443081,0.509093
0,185,0.622240,3e-05,0.355176,0.664465
0,186,0.613479,3e-05,0.313834,0.751024
0,187,0.743436,3e-05,0.374308,0.916118
0,188,0.903831,3e-05,0.362148,1.366886
0,189,0.629271,3e-05,0.426948,0.511012
0,190,0.897247,3e-05,0.422628,1.181383
0,191,0.662926,3e-05,0.437285,0.559023
0,192,0.766367,3e-05,0.396542,0.933755
0,193,0.624191,3e-05,0.418497,0.522292
0,194,0.511288,3e-05,0.287696,0.577597
0,195,0.622747,3e-05,0.297626,0.808375
0,196,0.980129,3e-05,0.419983,1.409770
0,197,0.619254,3e-05,0.397268,0.572776
0,198,0.657586,3e-05,0.385760,0.700085
0,199,0.597488,3e-05,0.404094,0.488633
0,200,0.656640,3e-05,0.336467,0.793935
0,201,0.675660,3e-05,0.371580,0.782410
0,202,0.569590,3e-05,0.301197,0.678346
0,203,0.693429,3e-05,0.427659,0.668640
0,204,0.651089,3e-05,0.331136,0.817375
0,205,0.632391,3e-05,0.349622,0.718867
0,206,0.905396,3e-05,0.304366,1.488503
0,207,0.585579,3e-05,0.349154,0.598757
0,208,0.631355,3e-05,0.377813,0.641152
0,209,0.523989,3e-05,0.342530,0.462093
0,210,0.721647,3e-05,0.310477,1.043744
0,211,0.579718,3e-05,0.302733,0.681019
0,212,0.755861,3e-05,0.461280,0.732382
0,213,0.619045,3e-05,0.353775,0.660571
0,214,0.688960,3e-05,0.373493,0.799962
0,215,0.594102,3e-05,0.357865,0.571272
0,216,0.704603,3e-05,0.356177,0.871361
0,217,0.621661,3e-05,0.375991,0.635714
0,218,0.613969,3e-05,0.365343,0.651070
0,219,0.630191,3e-05,0.337515,0.741401
0,220,0.793717,3e-05,0.318606,1.200031
0,221,0.672301,3e-05,0.303973,0.914464
0,222,0.513604,3e-05,0.337641,0.446226
0,223,0.625319,3e-05,0.402255,0.572843
0,224,0.791885,3e-05,0.360474,1.064552
0,225,0.650030,3e-05,0.455238,0.479462
0,226,0.704602,3e-05,0.267419,1.075384
0,227,0.568140,3e-05,0.386086,0.466295
0,228,0.576871,3e-05,0.340458,0.604784
0,229,0.745196,3e-05,0.341108,1.007276
