Epoch,Step,Total_Loss,Recon_Loss,VQ_Loss,Perplexity,LR
1,106,0.982449,0.042692,0.939757,11.239240,0.00000746
1,107,1.013019,0.035351,0.977668,10.534371,0.00000752
1,108,0.950924,0.032425,0.918499,9.843187,0.00000758
1,109,1.047627,0.024702,1.022925,10.830321,0.00000764
1,110,0.997261,0.028549,0.968711,12.016767,0.00000770
1,111,1.155355,0.041591,1.113764,10.595726,0.00000776
1,112,1.048285,0.024663,1.023622,9.214874,0.00000782
1,113,1.186331,0.044961,1.141371,9.544196,0.00000788
1,114,1.161122,0.032907,1.128215,9.498575,0.00000795
1,115,1.148434,0.026269,1.122165,9.469997,0.00000801
1,116,1.238595,0.026923,1.211672,9.407698,0.00000807
1,117,1.306183,0.030142,1.276041,9.552483,0.00000813
1,118,1.341725,0.039053,1.302673,8.935802,0.00000819
1,119,1.338373,0.024564,1.313810,8.347082,0.00000825
1,120,1.432712,0.026706,1.406006,8.014234,0.00000831
1,121,1.529485,0.037929,1.491556,7.947981,0.00000837
1,122,1.482733,0.031622,1.451111,8.256488,0.00000843
1,123,1.585707,0.031867,1.553840,7.651835,0.00000849
1,124,1.635581,0.027156,1.608425,8.132057,0.00000855
1,125,1.753436,0.028881,1.724555,7.921062,0.00000862
1,126,1.835644,0.035531,1.800113,7.384442,0.00000868
1,127,1.626630,0.018872,1.607758,7.367695,0.00000874
1,128,1.958060,0.038515,1.919545,6.763349,0.00000880
1,129,2.029769,0.027870,2.001899,6.375520,0.00000886
1,130,1.854321,0.027227,1.827094,6.205350,0.00000892
1,131,1.806521,0.021126,1.785395,6.272408,0.00000898
1,132,2.103541,0.029245,2.074297,5.839121,0.00000904
1,133,2.060684,0.028756,2.031928,6.495634,0.00000910
1,134,2.525815,0.043920,2.481895,5.663730,0.00000916
1,135,2.394917,0.034116,2.360800,6.202900,0.00000922
1,136,2.702178,0.030084,2.672094,5.714964,0.00000929
1,137,2.765097,0.045841,2.719256,5.579629,0.00000935
1,138,2.831771,0.033433,2.798337,5.267708,0.00000941
1,139,2.894521,0.022707,2.871814,4.548673,0.00000947
1,140,2.935721,0.030129,2.905592,4.828904,0.00000953
1,141,3.275387,0.040378,3.235008,4.546323,0.00000959
1,142,2.944415,0.027885,2.916530,4.600773,0.00000965
1,143,3.354774,0.037337,3.317437,4.417697,0.00000971
1,144,3.329607,0.025843,3.303764,4.063865,0.00000977
1,145,3.180486,0.028693,3.151793,4.207333,0.00000983
1,146,2.985363,0.021831,2.963532,3.990223,0.00000989
1,147,3.679671,0.026318,3.653352,3.903309,0.00000996
1,148,3.601462,0.028653,3.572809,3.351490,0.00001002
1,149,3.528571,0.031858,3.496712,3.452633,0.00001008
1,150,3.924789,0.033525,3.891263,3.355160,0.00001014
1,151,4.037090,0.019248,4.017842,3.585728,0.00001020
1,152,4.815601,0.037845,4.777756,3.166167,0.00001026
1,153,4.600383,0.048496,4.551887,3.339935,0.00001032
1,154,4.759104,0.029191,4.729914,3.206702,0.00001038
1,155,4.500125,0.021327,4.478798,3.246900,0.00001044
1,156,5.212048,0.031653,5.180395,2.884209,0.00001050
1,157,5.220959,0.027760,5.193199,2.932827,0.00001056
1,158,4.857623,0.025033,4.832591,2.928854,0.00001063
1,159,4.686789,0.016096,4.670693,2.781631,0.00001069
1,160,4.992581,0.020204,4.972377,2.934334,0.00001075
1,161,5.879599,0.020527,5.859072,2.808946,0.00001081
1,162,6.451117,0.042621,6.408496,2.786302,0.00001087
1,163,5.662163,0.024765,5.637398,2.736897,0.00001093
2,164,6.223110,0.021043,6.202066,2.590193,0.00001099
2,165,6.784554,0.030887,6.753668,2.607403,0.00001105
2,166,6.986379,0.031668,6.954711,2.567903,0.00001111
2,167,6.401208,0.021994,6.379214,2.589373,0.00001117
2,168,7.239198,0.029720,7.209478,2.579072,0.00001124
2,169,8.179104,0.029453,8.149651,2.569348,0.00001130
2,170,7.317524,0.027968,7.289556,2.550806,0.00001136
2,171,7.583148,0.024291,7.558857,2.527225,0.00001142
2,172,8.229826,0.036639,8.193187,2.543530,0.00001148
2,173,8.223901,0.036312,8.187589,2.540974,0.00001154
2,174,8.534883,0.036450,8.498432,2.512283,0.00001160
2,175,8.691053,0.027881,8.663172,2.516392,0.00001166
2,176,9.643826,0.033023,9.610804,2.534618,0.00001172
2,177,9.823037,0.039771,9.783266,2.473944,0.00001178
2,178,9.251874,0.024673,9.227201,2.528410,0.00001184
2,179,9.062380,0.032105,9.030275,2.402042,0.00001191
2,180,10.783771,0.030913,10.752858,2.437055,0.00001197
2,181,11.285611,0.043326,11.242285,2.468479,0.00001203
2,182,10.970225,0.037702,10.932524,2.421095,0.00001209
2,183,10.910601,0.034414,10.876186,2.419198,0.00001215
2,184,12.014424,0.042545,11.971880,2.453057,0.00001221
2,185,11.997889,0.034093,11.963796,2.443686,0.00001227
2,186,11.430065,0.021381,11.408684,2.373260,0.00001233
2,187,12.942100,0.024743,12.917356,2.404733,0.00001239
2,188,13.166048,0.025581,13.140467,2.417994,0.00001245
2,189,12.820927,0.018678,12.802249,2.404208,0.00001251
2,190,13.935906,0.034227,13.901680,2.436724,0.00001258
2,191,14.320490,0.039079,14.281411,2.485903,0.00001264
2,192,13.570678,0.019237,13.551440,2.373347,0.00001270
2,193,14.098759,0.022543,14.076216,2.392212,0.00001276
2,194,15.017144,0.042943,14.974201,2.416368,0.00001282
2,195,15.143505,0.026294,15.117211,2.376072,0.00001288
2,196,15.151479,0.021947,15.129532,2.349428,0.00001294
2,197,15.869539,0.046988,15.822552,2.403673,0.00001300
2,198,16.583855,0.027828,16.556026,2.382805,0.00001306
2,199,16.496605,0.031421,16.465183,2.379164,0.00001312
2,200,19.328424,0.026702,19.301723,2.377655,0.00001318
2,201,17.143492,0.028513,17.114979,2.376931,0.00001325
2,202,18.312256,0.025923,18.286333,2.374467,0.00001331
2,203,17.270142,0.016592,17.253550,2.321350,0.00001337
2,204,17.810637,0.028413,17.782223,2.332225,0.00001343
2,205,18.837990,0.037650,18.800339,2.352006,0.00001349
2,206,19.408556,0.033491,19.375065,2.384058,0.00001355
2,207,19.051865,0.029739,19.022125,2.332498,0.00001361
2,208,19.756247,0.026675,19.729572,2.374829,0.00001367
2,209,18.797600,0.034449,18.763151,2.337960,0.00001373
2,210,18.932718,0.022860,18.909859,2.309078,0.00001379
2,211,20.943830,0.030935,20.912895,2.365834,0.00001385
2,212,20.327488,0.028057,20.299431,2.373113,0.00001392
2,213,21.972095,0.032300,21.939795,2.373300,0.00001398
2,214,21.516394,0.024335,21.492060,2.304764,0.00001404
2,215,22.376173,0.035016,22.341156,2.345513,0.00001410
2,216,21.991627,0.017972,21.973656,2.286084,0.00001416
2,217,24.044895,0.026666,24.018229,2.343012,0.00001422
2,218,21.851542,0.024332,21.827209,2.281528,0.00001428
2,219,22.187275,0.034550,22.152725,2.282012,0.00001434
2,220,22.870203,0.023202,22.847002,2.264946,0.00001440
2,221,23.382591,0.044150,23.338442,2.267131,0.00001446
2,222,24.620874,0.042217,24.578657,2.255863,0.00001452
2,223,22.786261,0.028300,22.757961,2.258290,0.00001459
2,224,22.514973,0.028748,22.486225,2.250719,0.00001465
2,225,22.817633,0.021859,22.795773,2.241183,0.00001471
2,226,23.403708,0.031997,23.371712,2.226548,0.00001477
2,227,26.121349,0.029975,26.091373,2.249871,0.00001483
2,228,25.419136,0.029999,25.389137,2.270236,0.00001489
2,229,24.847301,0.037301,24.809999,2.244316,0.00001495
2,230,22.606718,0.023281,22.583437,2.202370,0.00001501
2,231,25.654919,0.031193,25.623726,2.224399,0.00001507
2,232,24.581556,0.035026,24.546532,2.229725,0.00001513
2,233,25.361641,0.026160,25.335482,2.237032,0.00001520
2,234,26.493540,0.027540,26.466000,2.225327,0.00001526
2,235,24.901844,0.025868,24.875977,2.206876,0.00001532
2,236,25.822491,0.032482,25.790009,2.206918,0.00001538
2,237,24.027248,0.025698,24.001551,2.200499,0.00001544
2,238,24.238550,0.021712,24.216839,2.206068,0.00001550
2,239,24.453737,0.031985,24.421753,2.227245,0.00001556
2,240,24.593040,0.033879,24.559162,2.252506,0.00001562
2,241,22.911003,0.023406,22.887596,2.213163,0.00001568
2,242,21.900553,0.025731,21.874821,2.193538,0.00001574
2,243,22.545095,0.034576,22.510519,2.207549,0.00001580
2,244,24.073717,0.031840,24.041878,2.252744,0.00001587
2,245,24.019051,0.021171,23.997879,2.211466,0.00001593
2,246,21.776340,0.029808,21.746532,2.199738,0.00001599
2,247,22.395437,0.027283,22.368155,2.229111,0.00001605
2,248,23.653982,0.029268,23.624714,2.242627,0.00001611
2,249,22.284849,0.033285,22.251564,2.230233,0.00001617
2,250,23.413717,0.021670,23.392048,2.231264,0.00001623
2,251,22.258446,0.042593,22.215853,2.261603,0.00001629
2,252,23.819870,0.030180,23.789690,2.269037,0.00001635
2,253,23.828123,0.031621,23.796501,2.287722,0.00001641
2,254,25.242582,0.036782,25.205801,2.285709,0.00001647
2,255,21.237980,0.015881,21.222099,2.259701,0.00001654
2,256,20.905088,0.027535,20.877554,2.241028,0.00001660
2,257,26.509241,0.036672,26.472569,2.324187,0.00001666
2,258,24.541967,0.030755,24.511213,2.316627,0.00001672
2,259,22.463333,0.049773,22.413561,2.316977,0.00001678
2,260,24.634760,0.030373,24.604387,2.339177,0.00001684
2,261,23.191862,0.024180,23.167683,2.341627,0.00001690
